Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
Case Keenum,LA,QB,20,2,51,2.6,5.1,1,13,7,35,0,0,0
Mike Davis,SF,RB,19,2.4,50,2.6,6.2,1,8,4,21.1,0,0,1
Albert Wilson,KC,WR,2,0.1,50,25,3.1,1,55T,1,50,1,1,0
Brandon Tate,BUF,WR,3,0.2,48,16,3.2,0,30,2,66.7,1,0,0
Antone Smith,TB,RB,10,3.3,47,4.7,15.7,0,8,1,10,0,0,2
Jamize Olawale,OAK,FB,17,1.1,47,2.8,2.9,2,17,5,29.4,0,0,0
Cordarrelle Patterson,MIN,WR,7,0.4,43,6.1,2.7,0,22,2,28.6,1,0,0
Troymaine Pope,SEA,RB,11,3.7,43,3.9,14.3,0,18,3,27.3,0,0,0
Johnny Holton,OAK,WR,6,0.4,43,7.2,2.9,0,29,2,33.3,1,0,1
Robby Anderson,NYJ,WR,3,0.2,42,14,2.6,0,30,2,66.7,1,0,0
Jamaal Charles,KC,RB,12,4,40,3.3,13.3,1,17,3,25,0,0,0
Malcolm Brown,LA,RB,18,1.1,39,2.2,2.4,0,10,1,5.6,0,0,1
Carson Palmer,ARI,QB,14,0.9,38,2.7,2.5,0,16,3,21.4,0,0,5
Jeff Janis,GB,WR,2,0.1,38,19,2.4,1,19T,2,100,0,0,0
Josh Bellamy,CHI,WR,4,0.2,37,9.3,2.3,0,22,2,50,1,0,0
John Kuhn,NO,FB,18,1.1,37,2.1,2.3,4,4,12,66.7,0,0,0
Philip Rivers,SD,QB,14,0.9,35,2.5,2.2,0,10,2,14.3,0,0,2
Marqise Lee,JAX,WR,6,0.4,35,5.8,2.2,0,11,2,33.3,0,0,0
Javorius Allen,BAL,RB,9,1.1,34,3.8,4.2,0,7,0,0,0,0,0
George Atkinson,CLE,RB,7,0.4,34,4.9,2.1,1,11,3,42.9,0,0,0
Randall Cobb,GB,WR,10,0.8,33,3.3,2.5,0,14,4,40,0,0,0
Andy Janovich,DEN,FB,4,0.4,33,8.3,3,1,28T,2,50,1,0,0
Don Jackson,GB,RB,10,3.3,32,3.2,10.7,0,7,1,10,0,0,0
Daniel Lasco,NO,RB,11,1.6,32,2.9,4.6,0,6,1,9.1,0,0,0
Lance Dunbar,DAL,RB,9,0.7,31,3.4,2.4,1,10,3,33.3,0,0,0
Mike Wallace,BAL,WR,5,0.3,31,6.2,1.9,0,13,2,40,0,0,0
Sterling Shepard,NYG,WR,3,0.2,31,10.3,1.9,0,22,1,33.3,1,0,0
Brandin Cooks,NO,WR,6,0.4,30,5,1.9,0,11,1,16.7,0,0,0
Chris Jones,DAL,P,1,0.1,30,30,1.9,0,30,1,100,1,0,0
De'Anthony Thomas,KC,WR,4,0.3,29,7.3,2.4,0,23,1,25,1,0,0
Terrell Watson,PHI,RB,9,9,28,3.1,28,1,8,2,22.2,0,0,0
Brandon Wilds,NYJ,RB,10,2.5,27,2.7,6.8,0,6,1,10,0,0,0
Marquette King,OAK,P,2,0.1,27,13.5,1.7,0,27,1,50,1,0,1
Jon Ryan,SEA,P,2,0.1,26,13,1.6,0,26,1,50,1,0,1
Juwan Thompson,DEN,RB,8,1,26,3.3,3.2,1,14,2,25,0,0,0
Paxton Lynch,DEN,QB,11,3.7,25,2.3,8.3,0,10,1,9.1,0,0,0
Jay Cutler,CHI,QB,5,1,24,4.8,4.8,0,12,1,20,0,0,1
D.J. Foster,NE,RB,7,2.3,24,3.4,8,0,7,0,0,0,0,0
Knile Davis,KC,RB,13,1.4,23,1.8,2.6,0,6,0,0,0,0,0
EJ Manuel,BUF,QB,8,1.3,22,2.8,3.7,0,8,3,37.5,0,0,1
Khiry Robinson,NYJ,RB,8,8,22,2.8,22,0,10,1,12.5,0,0,1
Kyle Juszczyk,BAL,FB,5,0.3,22,4.4,1.4,1,10T,3,60,0,0,0
Isaiah Pead,MIA,RB,8,2.7,22,2.8,7.3,0,4,0,0,0,0,0
Josh McCown,CLE,QB,7,1.4,21,3,4.2,0,7,0,0,0,0,2
Terrelle Pryor,CLE,WR,8,0.5,21,2.6,1.3,1,15,2,25,0,0,1
Drew Brees,NO,QB,23,1.4,20,0.9,1.2,2,7,7,30.4,0,0,0
Josh Ferguson,IND,RB,15,0.9,20,1.3,1.2,0,11,0,0,0,0,0
Chris Moore,BAL,WR,3,0.2,19,6.3,1.3,0,10,1,33.3,0,0,0
Bryce Petty,NYJ,QB,5,0.8,19,3.8,3.2,0,9,1,20,0,0,0
Travaris Cadet,NO,RB,4,0.3,19,4.8,1.3,0,16,1,25,0,0,0
Adam Humphries,TB,WR,5,0.3,18,3.6,1.2,0,8,0,0,0,0,0
Cody Kessler,CLE,QB,11,1.2,18,1.6,2,0,8,1,9.1,0,0,3
Jarvis Landry,MIA,WR,5,0.3,17,3.4,1.1,0,13,1,20,0,0,0
Jared Goff,LA,QB,8,1.1,16,2,2.3,1,6,1,12.5,0,0,0
Colton Schmidt,BUF,P,1,0.1,16,16,1,0,16,1,100,0,0,1
Zach Line,MIN,FB,7,0.5,15,2.1,1,0,5,3,42.9,0,0,0
Adam Thielen,MIN,WR,2,0.1,15,7.5,0.9,0,11,1,50,0,0,0
Antonio Andrews,TEN,RB,2,0.1,15,7.5,0.9,0,9,0,0,0,0,0
Kendall Wright,TEN,WR,1,0.1,15,15,1.4,0,15,1,100,0,0,0
Cedric Peerman,CIN,RB,6,1,15,2.5,2.5,0,4,0,0,0,0,0
Marc Mariani,TEN,WR,1,0.1,15,15,0.9,0,15,1,100,0,0,0
Sammie Coates,PIT,WR,4,0.3,14,3.5,1,0,15,1,25,0,0,0
Ben Roethlisberger,PIT,QB,16,1.1,14,0.9,1,1,14,3,18.8,0,0,2
Nelson Agholor,PHI,WR,5,0.3,14,2.8,0.9,0,5,0,0,0,0,0
Jerome Felton,BUF,FB,8,0.5,13,1.6,0.9,0,6,5,62.5,0,0,0
Quincy Enunwa,NYJ,WR,1,0.1,12,12,0.8,0,12,1,100,0,0,0
Stepfan Taylor,ARI,RB,4,0.3,12,3,0.8,0,12,1,25,0,0,0
Terrence Magee,SEA,RB,3,1.5,12,4,6,0,5,0,0,0,0,0
Tom Savage,HOU,QB,6,2,12,2,4,0,11,2,33.3,0,0,0
Percy Harvin,BUF,WR,1,0.5,11,11,5.5,0,11,1,100,0,0,0
Bronson Hill,JAX,RB,2,0.7,11,5.5,3.7,0,7,0,0,0,0,0
Delanie Walker,TEN,TE,2,0.1,11,5.5,0.7,0,8,1,50,0,0,0
Tommylee Lewis,NO,WR,3,0.2,11,3.7,0.9,0,7,1,33.3,0,0,0
John Brown,ARI,WR,1,0.1,10,10,0.7,0,10,1,100,0,0,0
Stefon Diggs,MIN,WR,3,0.2,10,3.3,0.8,0,12,1,33.3,0,0,0
Corey Coleman,CLE,WR,2,0.2,10,5,1,0,9,0,0,0,0,0
Martellus Bennett,NE,TE,2,0.1,10,5,0.6,0,6,0,0,0,0,0
Phillip Dorsett,IND,WR,2,0.1,10,5,0.7,0,7,0,0,0,0,0
Antonio Brown,PIT,WR,3,0.2,9,3,0.6,0,13,1,33.3,0,0,0
Chris Hogan,NE,WR,3,0.2,9,3,0.6,0,6,0,0,0,0,0
Jay Prosch,HOU,FB,4,0.3,9,2.3,0.6,0,5,3,75,0,0,0
Odell Beckham,NYG,WR,1,0.1,9,9,0.6,0,9,0,0,0,0,0
Kevin White,CHI,WR,1,0.2,9,9,2.2,0,9,0,0,0,0,0
Geno Smith,NYJ,QB,2,1,9,4.5,4.5,0,7,1,50,0,0,0
Russell Shepard,TB,WR,1,0.1,9,9,0.6,0,9,0,0,0,0,0
C.J. Spiller,NYJ,RB,3,0.8,9,3,2.2,0,4,2,66.7,0,0,0
Paul Lasike,CHI,FB,3,0.3,8,2.7,0.8,0,5,3,100,0,0,0
Joe Banyard,JAX,RB,2,2,7,3.5,7,0,7,0,0,0,0,0
Cole Beasley,DAL,WR,1,0.1,7,7,0.4,0,7,0,0,0,0,0
Quan Bray,IND,WR,1,0.2,7,7,1.2,0,7,0,0,0,0,0
Stevan Ridley,ATL,RB,3,3,7,2.3,7,0,7,1,33.3,0,0,0
Bryce Treggs,PHI,WR,2,0.2,7,3.5,0.8,0,4,2,100,0,0,0
Cameron Meredith,CHI,WR,1,0.1,6,6,0.4,0,6,0,0,0,0,0
Robert Woods,BUF,WR,1,0.1,6,6,0.5,0,6,1,100,0,0,0
Eli Rogers,PIT,WR,1,0.1,6,6,0.5,0,6,0,0,0,0,0
Corey Brown,CAR,WR,2,0.1,6,3,0.4,0,9,0,0,0,0,0
